kor,no,url,part
ㅂ니까,11447,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629998/MOV000245026_700X466.mp4,
ㅂ니까,11634,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629995/MOV000250693_700X466.mp4,
ㅂ니까,11876,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629997/MOV000253860_700X466.mp4,
ㅂ니까,19942,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285816/MOV000285884_700X466.mp4,어미
ㅂ니다,11375,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151222/232554/MOV000244666_700X466.mp4,
ㅂ니다,19943,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285817/MOV000285886_700X466.mp4,
ㅂ시다,1742,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735129/MOV000240391_700X466.mp4,
ㅂ시다,8970,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/242391/MOV000255226_700X466.mp4,
ㅂ시다,19944,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285818/MOV000285888_700X466.mp4,어미
ㅂ시다,19945,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285819/MOV000285890_700X466.mp4,어미
ㅃ,10657,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005891/MOV000359893_700X466.mp4,
ㅅ,10667,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005893/MOV000359895_700X466.mp4,
ㅅ시옷,20053,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290153/MOV000286310_700X466.mp4,명사
ㅆ,10927,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005854/MOV000359856_700X466.mp4,
ㅆ쌍시옷,20183,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290180/MOV000286767_700X466.mp4,명사
ㅇ,12801,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009745/MOV000360042_700X466.mp4,
ㅇ이응,20185,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290182/MOV000286771_700X466.mp4,명사
ㅈ,11784,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001950/MOV000359527_700X466.mp4,
ㅉ,9868,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005759/MOV000359836_700X466.mp4,
ㅉ쌍지읒,20675,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290332/MOV000288385_700X466.mp4,명사
ㅊ,9874,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005761/MOV000359838_700X466.mp4,
ㅋ,12930,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009754/MOV000360051_700X466.mp4,
ㅋ키읔,20715,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290343/MOV000288507_700X466.mp4,명사
ㅌ,9991,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005763/MOV000359840_700X466.mp4,
ㅌ티읕,20726,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290351/MOV000288535_700X466.mp4,명사
