kor,no,url,part
깨물다,23837,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347046/MOV000260305_700X466.mp4,
깨물다,23838,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347047/MOV000260306_700X466.mp4,
깨어지다,11660,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735745/MOV000236912_700X466.mp4,
깨엿,1525,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225106/MOV000241257_700X466.mp4,
깨우다,1526,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225107/MOV000241259_700X466.mp4,
꺼내다,4702,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/239013/MOV000248524_700X466.mp4,
꺼내다,6371,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239910/MOV000250311_700X466.mp4,
꺼지다,416,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632381/MOV000235807_700X466.mp4,
꺼지다,4701,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632379/MOV000248522_700X466.mp4,
꺼지다,6372,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733582/MOV000250315_700X466.mp4,
꺼지다,7090,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632359/MOV000257810_700X466.mp4,
꺼지다,7963,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632384/MOV000255984_700X466.mp4,
꺼지다,9803,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632382/MOV000260233_700X466.mp4,
꺼지다,10978,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632383/MOV000251919_700X466.mp4,
꺼지다,11527,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632378/MOV000250313_700X466.mp4,
꺼지다,12299,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632327/MOV000259600_700X466.mp4,
꺼지다,12470,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632328/MOV000235317_700X466.mp4,
꺼지다,23824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347031/MOV000260290_700X466.mp4,
꺾다,2361,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200813/728867/MOV000260394_700X466.mp4,
꺾다,7527,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/732867/MOV000262970_700X466.mp4,
꺾다,24005,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347112/MOV000260395_700X466.mp4,
꺾이다,3004,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230631/MOV000243790_700X466.mp4,
꺾이다,4833,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151213/227157/MOV000242188_700X466.mp4,
꺾이다,4834,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151213/227158/MOV000242190_700X466.mp4,
꺾이다,4836,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151213/227160/MOV000242194_700X466.mp4,
껄끄럽다,408,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727517/MOV000250339_700X466.mp4,
껌,6373,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627236/MOV000250317_700X466.mp4,
껌껌하다,2003,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628062/MOV000238431_700X466.mp4,
껌껌하다,4202,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628063/MOV000247182_700X466.mp4,
껌껌하다,7255,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628065/MOV000257355_700X466.mp4,
껌껌하다,11241,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628064/MOV000241223_700X466.mp4,
껌껌하다,11653,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628061/MOV000254438_700X466.mp4,
껌다,1527,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627628/MOV000241261_700X466.mp4,
껌다,1528,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627625/MOV000241263_700X466.mp4,
껌다,10064,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627627/MOV000241251_700X466.mp4,
껌정,1527,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627628/MOV000241261_700X466.mp4,
껌정,1528,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627625/MOV000241263_700X466.mp4,
껌정,10064,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627627/MOV000241251_700X466.mp4,
껍데기,407,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212955/MOV000235783_700X466.mp4,
껍데기,6374,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239914/MOV000250319_700X466.mp4,
껍데기,11242,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151209/224991/MOV000241225_700X466.mp4,
껍질,407,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212955/MOV000235783_700X466.mp4,
껍질,6374,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239914/MOV000250319_700X466.mp4,
껍질,11242,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151209/224991/MOV000241225_700X466.mp4,
껍질을벗기다,407,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212955/MOV000235783_700X466.mp4,
껍질을벗기다,6374,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239914/MOV000250319_700X466.mp4,
께,12566,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151209/224992/MOV000241227_700X466.mp4,
께,19657,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285540/MOV000285067_700X466.mp4,조사
께,19658,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/285541/MOV000285069_700X466.mp4,조사
껴안다,65,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151120/213483/MOV000236045_700X466.mp4,
껴안다,5295,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/237916/MOV000247074_700X466.mp4,
껴안다,6841,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239970/MOV000250431_700X466.mp4,
껴안다,10950,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160108/242937/MOV000256301_700X466.mp4,
껴안다,11684,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735422/MOV000234576_700X466.mp4,
껴안다,12714,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/239018/MOV000248534_700X466.mp4,
꼬다,3005,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043197/MOV000361089_700X466.mp4,
꼬리,6842,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239971/MOV000250433_700X466.mp4,
꼬마,409,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627615/MOV000235787_700X466.mp4,
꼬마,6843,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627614/MOV000250435_700X466.mp4,
꼬마,24044,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627616/MOV000260448_700X466.mp4,
꼬맹이,409,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627615/MOV000235787_700X466.mp4,
꼬맹이,6843,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627614/MOV000250435_700X466.mp4,
꼬박,3006,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230633/MOV000243794_700X466.mp4,
꼬시다,7914,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160108/242741/MOV000255918_700X466.mp4,
꼬시다,10031,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735223/MOV000235789_700X466.mp4,
꼬시다,11462,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151117/211302/MOV000235051_700X466.mp4,
꼬집다,5800,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/248639/MOV000261969_700X466.mp4,
꼬집다,6844,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239973/MOV000250437_700X466.mp4,
꼬집다,8557,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/241298/MOV000253059_700X466.mp4,
꼬집다,9840,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/242342/MOV000255129_700X466.mp4,
꼬집다,9907,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160111/244205/MOV000258804_700X466.mp4,
꼬집다,10485,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/255857/MOV000266802_700X466.mp4,
꼬집다,11272,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237395/MOV000246824_700X466.mp4,
꼬집다,12587,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237394/MOV000246822_700X466.mp4,
꼬집다,12684,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735442/MOV000245304_700X466.mp4,
꼭,3413,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627702/MOV000256909_700X466.mp4,
꼭,12710,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627703/MOV000250441_700X466.mp4,
꼭대기,5315,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/235863/MOV000246136_700X466.mp4,
꼭대기,6846,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239976/MOV000250443_700X466.mp4,
꼭대기,6847,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239977/MOV000250445_700X466.mp4,
꼭대기,10687,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/241965/MOV000254380_700X466.mp4,
꼭대기,10688,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/242021/MOV000254492_700X466.mp4,
꼭두각시,10905,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630972/MOV000257259_700X466.mp4,
꼭두각시,11099,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630973/MOV000235791_700X466.mp4,
꼴,4994,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630783/MOV000242682_700X466.mp4,
꼴,7548,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630778/MOV000251549_700X466.mp4,
꼴,9416,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630782/MOV000235241_700X466.mp4,
꼴,10433,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630765/MOV000251543_700X466.mp4,
꼴,10704,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630780/MOV000254935_700X466.mp4,
꼴,11111,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630785/MOV000237646_700X466.mp4,
꼴,11112,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630786/MOV000237650_700X466.mp4,
꼴,11529,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630766/MOV000250447_700X466.mp4,
꼴,12230,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630781/MOV000252818_700X466.mp4,
꼴찌,11243,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732525/MOV000241229_700X466.mp4,
꼼꼼,10616,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632456/MOV000258237_700X466.mp4,
꼼꼼,10702,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632457/MOV000254801_700X466.mp4,
꼼꼼,10727,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632458/MOV000254252_700X466.mp4,
꼼꼼,10917,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632459/MOV000255779_700X466.mp4,
꼼꼼,11526,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632454/MOV000250297_700X466.mp4,
꼼꼼,11664,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632460/MOV000238165_700X466.mp4,
꼼꼼,12395,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632461/MOV000257435_700X466.mp4,
꼼꼼,12615,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632455/MOV000245520_700X466.mp4,
꼼꼼,12711,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632463/MOV000250449_700X466.mp4,
꼽추,376,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345395/MOV000235549_700X466.mp4,
꼽추,377,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345396/MOV000235551_700X466.mp4,
꼽추,6848,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239980/MOV000250451_700X466.mp4,
꽂다,12567,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151209/224994/MOV000241231_700X466.mp4,
꽃,6849,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627617/MOV000250453_700X466.mp4,
꽃가게,410,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212960/MOV000235793_700X466.mp4,
꽃가게,1529,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624336/MOV000241265_700X466.mp4,
꽃가루,4469,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160101/238731/MOV000247960_700X466.mp4,
꽃가루,6850,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239982/MOV000250455_700X466.mp4,
꽃가지,3007,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230634/MOV000243796_700X466.mp4,
꽃게,6851,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239983/MOV000250457_700X466.mp4,
꽃꽂이,3008,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230635/MOV000243798_700X466.mp4,
꽃놀이,3009,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230636/MOV000243800_700X466.mp4,
꽃다발,3010,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230637/MOV000243802_700X466.mp4,
꽃동산,3011,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230737/MOV000243804_700X466.mp4,
꽃무늬,8584,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230883/MOV000243898_700X466.mp4,
꽃반지,3522,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230884/MOV000243900_700X466.mp4,
꽃밭,233,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190918/615420/MOV000235315_700X466.mp4,
꽃밭,970,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216402/MOV000237318_700X466.mp4,
꽃밭,1087,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151127/217427/MOV000237779_700X466.mp4,
꽃밭,6852,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239984/MOV000250459_700X466.mp4,
꽃병,963,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216294/MOV000237300_700X466.mp4,
꽃병,9472,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239985/MOV000250461_700X466.mp4,
꽃봉오리,5314,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151228/235862/MOV000246134_700X466.mp4,
꽃삽,3523,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230885/MOV000243902_700X466.mp4,
꽃송이,6893,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239987/MOV000250465_700X466.mp4,
꽃신,3524,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230886/MOV000243904_700X466.mp4,
꽃씨,3525,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230887/MOV000243906_700X466.mp4,
꽃잎,3526,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230888/MOV000243908_700X466.mp4,
꽃집,1529,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624336/MOV000241265_700X466.mp4,
꽃피우다,3527,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230889/MOV000243910_700X466.mp4,
꽃피우다,9288,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151121/213716/MOV000236112_700X466.mp4,
꽃향기,3528,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230890/MOV000243912_700X466.mp4,
꽈배기,6894,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239988/MOV000250467_700X466.mp4,
꽉차다,2362,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733025/MOV000241233_700X466.mp4,
꽤,617,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632472/MOV000240979_700X466.mp4,
꽤,2469,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632475/MOV000243162_700X466.mp4,
꽤,5956,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632469/MOV000250657_700X466.mp4,
꽤,10255,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632473/MOV000238083_700X466.mp4,
꽤,10557,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632464/MOV000234448_700X466.mp4,
꽤,10945,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632465/MOV000256124_700X466.mp4,
꽤,11530,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632471/MOV000248374_700X466.mp4,
꽤,11621,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632467/MOV000252094_700X466.mp4,
꽤,11631,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632466/MOV000252685_700X466.mp4,
꽤,12734,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632470/MOV000252002_700X466.mp4,
꽤,12877,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632474/MOV000251455_700X466.mp4,
꽹과리,4520,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221020/1042793/MOV000361037_700X466.mp4,
꾀,1649,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151206/222956/MOV000240323_700X466.mp4,
꾀,4521,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785155/MOV000357002_700X466.mp4,
꾀다,4522,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733719/MOV000248380_700X466.mp4,
꾀병,411,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212961/MOV000235795_700X466.mp4,
꾸기다,12712,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238942/MOV000248382_700X466.mp4,
꾸다,4873,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626623/MOV000253492_700X466.mp4,
꾸미다,1166,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151127/217572/MOV000237871_700X466.mp4,
꾸미다,4523,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238944/MOV000248386_700X466.mp4,
꾸미다,6871,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239435/MOV000249362_700X466.mp4,
꾸밈없다,3529,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230891/MOV000243914_700X466.mp4,
꾸벅꾸벅,4524,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238945/MOV000248388_700X466.mp4,
꾸준하다,1107,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200813/728872/MOV000248390_700X466.mp4,
꾸준하다,11501,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191017/628491/MOV000249058_700X466.mp4,
꾸중,2952,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230616/MOV000243760_700X466.mp4,
꾸중,4526,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733548/MOV000248396_700X466.mp4,
꾸중,11244,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151209/224996/MOV000241235_700X466.mp4,
꾸중듣다,4525,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238947/MOV000248392_700X466.mp4,
꾸중듣다,11441,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151224/233700/MOV000245176_700X466.mp4,
꾸지람,843,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216021/MOV000237148_700X466.mp4,
꾸지람,2952,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230616/MOV000243760_700X466.mp4,
꾸지람,4526,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733548/MOV000248396_700X466.mp4,
꾸지람,9817,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243230/MOV000256881_700X466.mp4,
꾸지람,9890,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160110/243654/MOV000257722_700X466.mp4,
꾸지람,11244,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151209/224996/MOV000241235_700X466.mp4,
꾸지람,11538,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/239093/MOV000248684_700X466.mp4,
꾸지람,12713,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238948/MOV000248394_700X466.mp4,
꾸짖다,843,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216021/MOV000237148_700X466.mp4,
꾸짖다,2952,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230616/MOV000243760_700X466.mp4,
꾸짖다,4196,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151231/238162/MOV000247170_700X466.mp4,
꾸짖다,4526,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733548/MOV000248396_700X466.mp4,
꾸짖다,9817,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243230/MOV000256881_700X466.mp4,
꾸짖다,9890,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160110/243654/MOV000257722_700X466.mp4,
꾸짖다,11244,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151209/224996/MOV000241235_700X466.mp4,
꾸짖다,11538,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/239093/MOV000248684_700X466.mp4,
꾸짖다,12713,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238948/MOV000248394_700X466.mp4,
꾼,328,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221101/1047211/MOV000361172_700X466.mp4,
꾼,412,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212962/MOV000235797_700X466.mp4,
꿀,4527,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785156/MOV000357003_700X466.mp4,
꿀맛,3530,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230892/MOV000243916_700X466.mp4,
꿀물,3531,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230893/MOV000243918_700X466.mp4,
꿀벌,4528,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221020/1042792/MOV000361036_700X466.mp4,
꿇다,4529,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200818/730459/MOV000248402_700X466.mp4,
꿈,4530,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625077/MOV000248404_700X466.mp4,
꿈,5252,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625080/MOV000247062_700X466.mp4,
꿈,11394,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625079/MOV000245338_700X466.mp4,
꿈,12568,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625078/MOV000241237_700X466.mp4,
꿈같다,1530,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225111/MOV000241267_700X466.mp4,
꿈꾸다,4530,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625077/MOV000248404_700X466.mp4,
꿈꾸다,5252,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625080/MOV000247062_700X466.mp4,
꿈꾸다,11394,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625079/MOV000245338_700X466.mp4,
꿈꾸다,12568,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625078/MOV000241237_700X466.mp4,
꿈속,1531,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151210/225112/MOV000241269_700X466.mp4,
꿩,4531,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238954/MOV000248406_700X466.mp4,
꿰뚫다,2346,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/259708/MOV000268517_700X466.mp4,
꿰뚫다,8098,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243076/MOV000256576_700X466.mp4,
꿰뚫다,10026,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735222/MOV000235613_700X466.mp4,
꿰뚫다,11533,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238955/MOV000248408_700X466.mp4,
꿰매다,4700,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/239011/MOV000248520_700X466.mp4,
꿰매다,11376,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735417/MOV000244774_700X466.mp4,
끄다,416,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632381/MOV000235807_700X466.mp4,
끄다,2715,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632358/MOV000260289_700X466.mp4,
끄다,4701,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632379/MOV000248522_700X466.mp4,
끄다,7090,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632359/MOV000257810_700X466.mp4,
끄다,7963,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632384/MOV000255984_700X466.mp4,
끄다,9803,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632382/MOV000260233_700X466.mp4,
끄다,10978,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632383/MOV000251919_700X466.mp4,
끄다,11527,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632378/MOV000250313_700X466.mp4,
끄다,12299,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632327/MOV000259600_700X466.mp4,
끄다,12470,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632328/MOV000235317_700X466.mp4,
끄다,15334,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160406/252559/MOV000263063_700X466.mp4,
끄덕이다,3532,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230993/MOV000243920_700X466.mp4,
끄덕이다,10824,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732509/MOV000256169_700X466.mp4,
끄집어내다,4702,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/239013/MOV000248524_700X466.mp4,
끈,413,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632397/MOV000235799_700X466.mp4,
끈,12368,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632396/MOV000257534_700X466.mp4,
끈기,4703,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200818/730479/MOV000354359_700X466.mp4,
끈기,10032,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212964/MOV000235801_700X466.mp4,
끈덕지다,4703,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200818/730479/MOV000354359_700X466.mp4,
끈덕지다,4997,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009637/MOV000359968_700X466.mp4,
끈덕지다,10032,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212964/MOV000235801_700X466.mp4,
끈적끈적,4704,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785169/MOV000357015_700X466.mp4,
